,For,Party,Title(s),address,link,name,office
40,"Murray, Victoria",The Nationals,,"426 Wyndham Street
                                             Shepparton, VIC, 3630",/Senators_and_Members/Parliamentarian?MPID=56430,Hon Damian Drum MP,1.0
41,"Dickson, Queensland",Liberal Party of Australia,Minister for Immigration and Border Protection,"3/199 Gympie Road
                                             Strathpine, QLD, 4500",/Senators_and_Members/Parliamentarian?MPID=00AKI,Hon Peter Dutton MP,1.0
42,"Richmond, New South Wales",Australian Labor Party,,"Suite 6, Hallmark Centre, 107-111 Minjungbal Drive
                                             Tweed Heads South, NSW, 2486",/Senators_and_Members/Parliamentarian?MPID=DZW,Hon Justine Elliot MP,1.0
43,"Adelaide, South Australia",Australian Labor Party,,"161 Main North Road
                                             Nailsworth, SA, 5083",/Senators_and_Members/Parliamentarian?MPID=DZU,Hon Kate Ellis MP,1.0
44,"Leichhardt, Queensland",Liberal Party of Australia,,"Units 3 & 4, 200 Mulgrave Road
                                             Westcourt
                                                 Cairns, QLD, 4870",/Senators_and_Members/Parliamentarian?MPID=7K6,Hon Warren Entsch MP,1.0
45,"Leichhardt, Queensland",Liberal Party of Australia,,"100 Douglas St
                                             Thursday Island, QLD, 4875",/Senators_and_Members/Parliamentarian?MPID=7K6,Hon Warren Entsch MP,2.0
46,"Brisbane, Queensland",Liberal Party of Australia,,"Suite 3.1
                                             5 Kyabra Street
                                                 Newstead, QLD, 4006",/Senators_and_Members/Parliamentarian?MPID=61378,Mr Trevor Evans MP,1.0
47,"Mackellar, New South Wales",Liberal Party of Australia,,"Shop 1, 1238-1246
                                             Pittwater Road
                                                 Narrabeen, NSW, 2101",/Senators_and_Members/Parliamentarian?MPID=G86,Mr Jason Falinski MP,1.0
48,"Batman, Victoria",Australian Labor Party,,"159 High St
                                             Preston, VIC, 3072",/Senators_and_Members/Parliamentarian?MPID=I0O,Hon David Feeney MP,1.0
49,"Hunter, New South Wales",Australian Labor Party,,"3 Edward Street
                                             Cessnock, NSW, 2325",/Senators_and_Members/Parliamentarian?MPID=8K6,Hon Joel Fitzgibbon MP,1.0
50,"Bradfield, New South Wales",Liberal Party of Australia,Minister for Urban Infrastructure,"Suite 1, Level 2
                                             280 Pacific Highway
                                                 Lindfield, NSW, 2070",/Senators_and_Members/Parliamentarian?MPID=L6B,Hon Paul Fletcher MP,1.0
51,"Boothby, South Australia",Liberal Party of Australia,,"Level 1, 724 Marion Road
                                             Marion, SA, 5043",/Senators_and_Members/Parliamentarian?MPID=245550,Ms Nicolle Flint MP,1.0
52,"Macarthur, New South Wales",Australian Labor Party,,"37 Queen Street
                                             Campbelltown, NSW, 2560",/Senators_and_Members/Parliamentarian?MPID=265979,Dr Mike Freelander MP,1.0
53,"Kooyong, Victoria",Liberal Party of Australia,Minister for the Environment and Energy,"695 Burke Road
                                             Camberwell, VIC, 3124",/Senators_and_Members/Parliamentarian?MPID=FKL,Hon Josh Frydenberg MP,1.0
54,"Calare, New South Wales",The Nationals,,"Suite  1/179A Anson Street
                                             Orange, NSW, 2800",/Senators_and_Members/Parliamentarian?MPID=261393,Mr Andrew Gee MP,1.0
55,"Calare, New South Wales",The Nationals,,"85 Keppel Street
                                             Bathurst, NSW, 2795",/Senators_and_Members/Parliamentarian?MPID=261393,Mr Andrew Gee MP,2.0
56,"Hindmarsh, South Australia",Australian Labor Party,,"Shop 2
                                             670 ANZAC Highway
                                                 Glenelg, SA, 5045",/Senators_and_Members/Parliamentarian?MPID=DZY,Mr Steve Georganas MP,1.0
57,"Scullin, Victoria",Australian Labor Party,,"Shop 23-25
                                             314-360 Childs Rd
                                                 Mill Park, VIC, 3082",/Senators_and_Members/Parliamentarian?MPID=243609,Mr Andrew Giles MP,1.0
58,"Lyne, New South Wales",The Nationals,Assistant Minister for Rural Health,"75-77 Clarence Street
                                             Port Macquarie, NSW, 2444",/Senators_and_Members/Parliamentarian?MPID=72184,Hon Dr David Gillespie MP,1.0
59,"Moore, Western Australia",Liberal Party of Australia,,"3 Boas Avenue
                                             Joondalup, WA, 6027",/Senators_and_Members/Parliamentarian?MPID=74046,Mr Ian Goodenough MP,1.0
60,"Solomon, Northern Territory",Australian Labor Party,,"3/266 Trower Road
                                             Casuarina, NT, 0810",/Senators_and_Members/Parliamentarian?MPID=245392,"Mr Luke Gosling OAM, MP",1.0
61,"Perth, Western Australia",Australian Labor Party,,"953 A Beaufort Street
                                             Inglewood, WA, 6052",/Senators_and_Members/Parliamentarian?MPID=80109,Mr Tim Hammond MP,1.0
62,"Bass, Tasmania",Australian Labor Party,,"100 St John Street
                                             Launceston, TAS, 7250",/Senators_and_Members/Parliamentarian?MPID=263070,Mr Ross Hart MP,1.0
